EID,Title,Year,Source title,Cited by,DOI,Topic_Category,GBRS_Mentioned,BIPV_Application,Key_Sentences
2-s2.0-85159480843,Towards rural net-zero energy buildings through integration of photovoltaic systems within bio-based earth houses: Case study in Eastern Morocco,2023,Solar Energy,35,10.1016/j.solener.2023.05.007,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"The study focused on the fabrication and laboratory testing of a building material incorporating plant fibers, followed by a feasibility analysis of an integrated stand-alone PV system."
2-s2.0-85164254657,Power performance assessment of PV blinds system considering self-shading effects,2023,Solar Energy,22,10.1016/j.solener.2023.111834,BIPV Technical Performance,None mentioned,Shading BIPV,Building-integrated photovoltaic (BIPV) system has been considered as an effective solution to enhance building energy performance.
2-s2.0-85169564267,A holistic digital workflow methodology to shifting towards net zero energy urban residential buildings in a semi-arid climate,2023,Solar Energy,43,10.1016/j.solener.2023.111959,Net-Zero / Zero-Energy Buildings,None mentioned,Rooftop PV,"Through an automated processing of 2187 iterations via Grasshopper, we simulate daylight autonomy, indoor thermal comfort and solar rooftop photovoltaic and building integrated photovoltaic (BIPV) energy potential. | Then, we analyze the conflicting objectives of energy efficiency measures, active solar design strategies, and indoor visual comfort in the decision-making process that supports our goal of getting closer to net zero urban residential buildings. | The findings also highlight the important role of the BIPV system in shifting towards the net zero energy goal, by contributing up to 30 % of the overall solar energy output and covering up to 20 % of the yearly self-consumption. | Graphical representations of the yearly, monthly and hourly load matches and the hourly energy balance of the best performing configurations provide a thorough understanding of the potential evolution of the urban energy system over time as a result of the gradual integration of active solar electricity production."
2-s2.0-85173242502,Judicious design solutions for zero energy school buildings in hot climates,2023,Solar Energy,15,10.1016/j.solener.2023.112050,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Integrating a photovoltaics (PV) system aiming to reach the net-zero energy status supplied the school with demanded energy and managed to export 42.78%, 43.53%, and 45.75% to the national grid in the hot-humid, hot-dry, and warm-humid climatic zones, respectively. | The concept of net-zero energy, with its holistic consideration of energy-efficient passive, active, and renewable energy systems, is a critical step toward decarbonizing the built environment. | This work aims to assess the feasibility of net-zero energy schools in hot climates and propose practical and realistic design solutions. | The design of a net-zero energy school was developed and analyzed using DesignBuilder software in hot-humid, hot-dry, and warm-humid climatic zones in Oman."
2-s2.0-85183744321,"Design parameters influencing the energy performance and indoor comfort of net zero energy building “NZEB” designed for semi-arid urban areas: Digital workflow methodology, sensitivity analysis and comparative assessment",2024,Solar Energy,19,10.1016/j.solener.2023.112264,Net-Zero / Zero-Energy Buildings,None mentioned,Shading BIPV,"In order to reach carbon neutrality targets in the built environment, worldwide designers should look toward more sustainable buildings, especially with solar integrated configurations to reduce the reliance on conventional sources of energy in urban environments. | Then, based on the results of this investigation, we compared the energy performance of nearly/Net Zero Energy Buildings (ZEB) considering two opposing extreme design options, that are the worst and best configurations, using different timescales, i.e., annual, monthly, weekly, daily and hourly performances. | Besides, the findings underscore the significant contribution of the BIPV system in shifting towards the net zero energy goal, accounting for as much as 57.14 % of the total solar energy output. | Lastly, the result of this study proves that Net Zero Energy Building, even positive energy building, could be achievable within semi-arid climate conditions."
2-s2.0-85189018355,"Demonstration and data analysis of a Zero Emission Building (ZEB) in Beijing, China",2024,Solar Energy,11,10.1016/j.solener.2024.112488,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Focused on the influence of heat from PV modules on building envelope's heat transfer and energy saving performance, and the power generation, the coupling mechanism of power generation and heat transfer of integrated photovoltaic technology on building façades has been investigated. | Furthermore, the achievements have been applied in Zero Emission Building (ZEB) of China Academy of Building Research (CABR), demonstrating way to realize zero carbon building by integration of photovoltaic technology."
2-s2.0-85193527843,Overall energy performance of building-integrated bifacial photovoltaic sunshades with different installation and building parameters in hot and humid regions,2024,Solar Energy,14,10.1016/j.solener.2024.112619,BIPV Technical Performance,None mentioned,Shading BIPV,"By integrating bPV shading systems into buildings, more power generation and less building energy consumption can be achieved compared to traditional shading systems. | This study aims to integrate and optimize bPV shading systems into the building vertical façades in hot and humid regions, considering varying installation and building parameters. | The findings of this study provide practical guidance for maximizing the power generation and optimizing the design of building-integrated bPV sunshades to achieve maximum energy savings."
2-s2.0-85204800302,Performance variability of solar irradiance model chains applied to building-integrated photovoltaic systems at high latitudes,2024,Solar Energy,6,10.1016/j.solener.2024.112924,BIPV Technical Performance,None mentioned,Generic PV / BAPV,The paper investigates a total of 725 combinations of decomposition and transposition models for calculating the solar potential of building-integrated photovoltaics.
2-s2.0-85204369529,Innovative designs for semitransparent carbon-based perovskite solar cells for building-integrated applications,2024,Solar Energy,6,10.1016/j.solener.2024.112951,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,
2-s2.0-85205365049,Research on the solar performance of folded dynamic BIPV shading,2024,Solar Energy,8,10.1016/j.solener.2024.112971,BIPV Technical Performance,None mentioned,Shading BIPV,Building Integrated Photovoltaics (BIPV) and adjusting natural lighting are the main focuses of the environmental performance.
2-s2.0-85214232609,Optimizing semi-transparent BIPV windows for balanced daylighting and solar energy performance in office buildings,2025,Solar Energy,21,10.1016/j.solener.2024.113229,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Building facades, especially windows, are essential for indoor lighting and solar energy use, but traditional windows often fail to balance daylighting and energy performance, while semi-transparent building-integrated photovoltaics (BIPVs) offer a promising solution, though research on optimizing their design for energy harvesting, daylight sufficiency, and glare control in office spaces is limited. | This study proposes a multi-objective optimization framework for designing semi-transparent building-integrated photovoltaic (BIPV) windows to balance energy efficiency, daylight quantity, and glare control in office buildings. | This framework provides valuable guidance for early-stage building design, helping to optimize both energy and lighting performance in BIPV-integrated facades."
2-s2.0-85214290196,The comprehensive impact of urban morphology on the photovoltaic power generation potential of block-scale office buildings: Real blocks and design benchmarks,2025,Solar Energy,9,10.1016/j.solener.2025.113248,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"Solar photovoltaic (PV) building integration is a key means of achieving the goal of zero-carbon buildings. | Firstly, this paper proposed an innovative five-levels PVGP assessment method based on Rhino&Grasshopper platform; Then, architectural typology approach was adopted to classify the morphological typologies of real office block samples; Afterwards, the comprehensive impact of morphological indicators on PVGP was quantified; Finally, solar energy utilisation strategies applicable to office block renovation and new construction scenarios were proposed. | The PVGP assessment model constructed in this paper can be extended globally, and the findings provide a design baseline for for the integration of PV modules and buildings suitable for office blocks renewal and solar planning in new blocks to build carbon–neutral blocks."
2-s2.0-85216580653,Simplified dynamic model and comprehensive performance analysis for semi-transparent photovoltaic double glazing and comparison with double glazing,2025,Solar Energy,5,10.1016/j.solener.2025.113257,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"As the global demand for sustainable energy continues to escalate, photovoltaic windows (PV windows) are emerging as a promising building integrated photovoltaics (BIPV) solution."
2-s2.0-85218868962,Advancing the Net Zero emission building concept: Integrating photovoltaics and electrical storage for NZEB environmental performance in different energy and climate contexts,2025,Solar Energy,8,10.1016/j.solener.2025.113331,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"A calibrated building energy simulation and life cycle assessment (LCA) were used to compare three configurations: a base case without renewables, PV integration, and PV with Battery Storage System (BSS) integration. | Net Zero Energy Building (NZEB) standards are instrumental to drive sustainable construction and climate resilience. | In Benguerir, PV integration reduced the climate change impact by 31 % (avoiding 2727 Kg.Co2eq/Year), and adding BSS further reduced it by 51 % (avoiding 4941 Kg.Co2eq/Year), achieving environmental payback in 39 and 26 years, respectively. | Conversely, in Lyon, PV integration increased the climate change impact by 20 % (adding 370 Kg.Co2eq/Year), and adding BSS raised it by 50 % (adding 929 Kg.Co2eq/Year), as the renewable energy generated did not compensate for the embodied impacts."
2-s2.0-105007851580,Feasibility and challenges of quantum dot solar cells in urban renewal photovoltaic buildings,2025,Solar Energy,4,10.1016/j.solener.2025.113647,BIPV Technical Performance,WELL,Generic PV / BAPV,"Artificial techniques such as machine learning are gradually being adopted. | This study begins by analyzing the current state of research on Building Integrated Photovoltaics (BIPV) in urban renewal, outlining the key characteristics of ideal PV components for such applications."
2-s2.0-105014920009,Multi-performance prediction and optimization for building-integrated photovoltaics facades with passive design via explainable machine learning,2025,Solar Energy,1,10.1016/j.solener.2025.113871,BIPV Technical Performance,None mentioned,Façade BIPV,"Building-integrated photovoltaic (BIPV) facades with passive design represent a low-carbon, sustainable architectural strategy for addressing climate change and energy challenges."
2-s2.0-105023513654,"Cooling photovoltaic surfaces with vertical or rooftop greenery: a review of mechanisms, key factors, methods and future research trends",2026,Solar Energy,0,10.1016/j.solener.2025.114163,BIPV Technical Performance,None mentioned,Façade BIPV,"This review summarizes the cooling effects and efficiency improvements of two common systems: PV-green roofs (PV-GR) and façade-integrated PV-vertical greenery (FIPV-VG). | Building-integrated photovoltaic (PV) systems and greenery are effective strategies for enhancing energy efficiency and ecological value in building façades and rooftops. | Integrating PV with greenery not only provides environmental and urban-scale benefits but also helps reduce PV surface temperatures, mitigating efficiency losses caused by overheating."
2-s2.0-105024407893,Energy efficiency optimization of CdTe photovoltaic glass based on PAM/SA hydrogel,2026,Solar Energy,0,10.1016/j.solener.2025.114211,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"The operational efficiency of Cadmium Telluride (CdTe) photovoltaic (PV) glass, a promising material for building-integrated photovoltaics (BIPV), is significantly degraded by temperature elevation, posing a challenge for maximising energy generation in zero-carbon buildings."
2-s2.0-105025407479,Urban Heat Island Mitigation and Indoor Comfort: A Cost-Effectiveness Analysis of Green Building Solutions for China’s Cities,2026,Solar Energy,0,10.1016/j.solener.2025.114232,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-105024910979,"Integrated PV, green roofs, and BIPV screens for energy and heat mitigation in Osaka",2026,Solar Energy,2,10.1016/j.solener.2025.114260,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"This study integrates rooftop solar photovoltaic (PV) panels (20 % coverage), extensive green roofs (20 % coverage), and building-integrated photovoltaic (BIPV) roller screens (40 % window-to-wall ratio) to enhance energy efficiency and urban resilience."
2-s2.0-105028368833,Techno-economically viable coloured BIPV modules with enhanced aesthetics and performance via animated Moiré patterns,2026,Solar Energy,0,10.1016/j.solener.2026.114369,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"In an endeavour to curtail greenhouse gas emissions and mitigate anthropogenic climate change, policies promoting zero-energy buildings have been implemented, thereby driving the demand for coloured building-integrated photovoltaic (BIPV) modules that combine aesthetic appeal with photoconversion efficiency comparable to conventional BIPV modules. | The integration of these techno-economically viable measures is expected to advance both the aesthetic quality and functional performance of coloured BIPV modules, thereby accelerating their adoption in sustainable architectural practice."
2-s2.0-105029276842,Experimental and numerical assessment of the energy performance of a double-pass fan-assisted Trombe wall system that integrates photovoltaics,2026,Solar Energy,0,10.1016/j.solener.2026.114371,BIPV Technical Performance,None mentioned,Façade BIPV,"This study presents the results of an integrated methodological approach for experimental and simulation-based analysis of a building-integrated photovoltaic/Trombe wall (BiPV/T) façade module. | Moreover, the integration of photovoltaic panels behind glazed surfaces enhances the building aesthetics and increases its market appeal."
2-s2.0-105030934027,Progress on application of eco-friendly perovskite solar cells in buildings,2026,Solar Energy,0,10.1016/j.solener.2026.114435,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"However, conventional PSCs typically rely on toxic solvents and lead‑based components, raising environmental and health concerns that severely restrict their large‑scale application in building‑integrated photovoltaics (BIPV). | To address these challenges, recent development of eco–friendly PSCs has focused on the adoption of non‑toxic solvents, lead‑free perovskite formulations, and sustainable manufacturing processes."
2-s2.0-105032195313,Performance evaluation of a latitude adaptive dual collector solar dryer,2026,Solar Energy,0,10.1016/j.solener.2026.114493,Policy / Regulation,None mentioned,Not specified,"To address this limitation, a dual-collector mixed-mode dryer was developed by integrating solar air collectors on the north and south sides of a hemispherical drying chamber."
2-s2.0-84966801014,"Contribution of the solar systems to the nZEB and ZEB design concept in Portugal – Energy, economics and environmental life cycle analysis",2016,Solar Energy Materials and Solar Cells,48,10.1016/j.solmat.2016.04.053,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"The results presented in this paper show that, in the Portuguese climate and for a typical multifamily building, it is possible to overcome 100% of the energy needs for acclimatization and domestic hot water (DHW) preparation with the integration of solar systems."
2-s2.0-85113939884,"Low cost, eco-friendly, modified fly ash-based shape-stabilized phase change material with enhanced thermal storage capacity and heat transfer efficiency for thermal energy storage",2021,Solar Energy Materials and Solar Cells,36,10.1016/j.solmat.2021.111343,Other,None mentioned,Not specified,
2-s2.0-85137064922,Tunable and angle-insensitive structural coloring of solar cell modules for high performance building-integrated photovoltaic application,2022,Solar Energy Materials and Solar Cells,30,10.1016/j.solmat.2022.111952,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Building-integrated photovoltaics (BIPV) is desired to reduce carbon emissions from residential and commercial buildings. | In this application, the controlling the visual impact of BIPV module with preserving PV performance remains a great challenge since the appearance of conventional PV modules is not favorable for building skins in most cases because of their dark colors."
2-s2.0-85185721762,Building-integrated photovoltaic applied Bi-facial photovoltaic module structural design,2024,Solar Energy Materials and Solar Cells,9,10.1016/j.solmat.2024.112758,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,These configurations are widely used in standard construction and building-integrated photovoltaic (BIPV) applications.
2-s2.0-85212528136,Thermo-economic and sustainability analysis of solar-based humidification dehumidification seawater desalination system using different packing materials,2025,Solar Energy Materials and Solar Cells,9,10.1016/j.solmat.2024.113384,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-105000409171,Assessment of energy storage technologies on life cycle sustainability for peak shaving scenario,2025,Solar Energy Materials and Solar Cells,4,10.1016/j.solmat.2025.113576,Other,None mentioned,Not specified,
2-s2.0-85107088827,Consumer-focused solar-grid net zero energy buildings: A multi-objective weighted sum optimization and application for India,2021,Sustainable Production and Consumption,57,10.1016/j.spc.2021.05.012,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,Renewable energy sources can help decarbonization by facilitating the achievement of Net Zero Energy Buildings (NZEB). | The suggested method establishes a Net Zero Energy (NZE) in a residential building with maximum electrical energy comfort and minimum drain on electrical energy. | We highlight the socioeconomic benefits of adopting the methodology in identifying the true potential of NZEBs in meeting global challenges.
2-s2.0-85126950873,Socio-techno-economic assessment to design an appropriate renewable energy system for remote agricultural communities in developing countries,2022,Sustainable Production and Consumption,39,10.1016/j.spc.2022.03.009,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85137687683,An integrated optimization framework for regional energy planning with a sustainability assessment model,2023,Sustainable Production and Consumption,30,10.1016/j.spc.2022.08.032,Other,None mentioned,Not specified,The increasing capacity of photovoltaic panels with the increasing solar ratio is integrated into the IES to promote its sustainability.
2-s2.0-85141700390,Life cycle sustainability assessment and circularity of geothermal power plants,2023,Sustainable Production and Consumption,37,10.1016/j.spc.2022.10.027,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-85150379050,Environmental sustainability assessment of banana waste utilization into food packaging and liquid fertilizer,2023,Sustainable Production and Consumption,41,10.1016/j.spc.2023.03.012,Other,None mentioned,Not specified,
2-s2.0-85160697404,Evaluation of life cycle impacts of European electricity generation in relation to the Planetary Boundaries,2023,Sustainable Production and Consumption,16,10.1016/j.spc.2023.05.026,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85189442485,A systematic evaluation of risk in bioenergy supply chains,2024,Sustainable Production and Consumption,8,10.1016/j.spc.2024.03.028,Other,None mentioned,Not specified,
2-s2.0-85215396740,Sustainability and efficiency assessment of routes for long-term energy storage in chemicals,2025,Sustainable Production and Consumption,3,10.1016/j.spc.2024.11.030,Other,None mentioned,Not specified,
2-s2.0-105001830291,Sustainability assessment of hydrogen production via water electrolysis considering different configurations of solar photovoltaics-battery-grid systems in China,2025,Sustainable Production and Consumption,9,10.1016/j.spc.2025.03.011,BIPV Economics / LCA,None mentioned,Generic PV / BAPV,
2-s2.0-105002565064,Life cycle sustainability assessment of staple food processing: A double and dynamic materiality approach,2025,Sustainable Production and Consumption,1,10.1016/j.spc.2025.04.002,Other,None mentioned,Not specified,
2-s2.0-105010114043,"Wind farms through the lens of sustainability and circularity: Integrating environmental, economic, and social dimensions",2025,Sustainable Production and Consumption,1,10.1016/j.spc.2025.07.003,Other,None mentioned,Not specified,
2-s2.0-105018308215,Absolute sustainability assessment of the power generation sector: a prospective insight towards the Chilean decarbonization targets,2025,Sustainable Production and Consumption,1,10.1016/j.spc.2025.09.016,Other,None mentioned,Not specified,
2-s2.0-105027214848,Quantitative sustainability assessment of in situ thermally enhanced bioremediation for carbon efficient groundwater remediation,2026,Sustainable Production and Consumption,0,10.1016/j.spc.2026.01.002,Policy / Regulation,None mentioned,Not specified,"These findings provide novel evidence for the practical viability and environmental benefits of ISTEB, offering actionable strategies for low-carbon, cost-effective, and socially acceptable remediation that align with sustainable production principles and contribute toward global net-zero carbon goals in contaminated site management."
2-s2.0-84905015176,Understanding domain symmetry in vanadium oxide phthalocyanine monolayers on Au (111),2014,Surface Science,17,10.1016/j.susc.2014.05.010,Other,LEED,Not specified,
2-s2.0-84867099963,A system dynamics approach to technology sustainability assessment: The case of biodiesel developments in South Africa,2012,Technovation,50,10.1016/j.technovation.2012.06.003,Policy / Regulation,None mentioned,Not specified,
2-s2.0-85048261445,How the cap limit for food-crop-based biofuels may affect France's stakeholders by 2030? A range-based multi-actor multi-criteria analysis,2018,Transportation Research Part D: Transport and Environment,8,10.1016/j.trd.2018.05.012,Other,None mentioned,Not specified,
2-s2.0-85120471450,How to compare sustainability impacts of alternative fuel Vehicles?,2022,Transportation Research Part D: Transport and Environment,33,10.1016/j.trd.2021.103129,BIPV Technical Performance,None mentioned,Not specified,"For example, adopting electric vehicles might reduce greenhouse gas emissions but It can also cause more water consumption."
2-s2.0-85071655190,Towards the nearly zero and the plus energy building: Primary energy balances and economic evaluations,2019,Thermal Science and Engineering Progress,43,10.1016/j.tsep.2019.100400,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Moreover, the adoption of increasingly challenging energy targets today offers important opportunities for the energy requalification and improvement of the overall quality of the building stock, particularly in the field of renewable plants."
2-s2.0-85104959016,Numerical study with eco-exergy analysis and sustainability assessment for a stand-alone nanofluid PV/T,2021,Thermal Science and Engineering Progress,55,10.1016/j.tsep.2021.100931,Policy / Regulation,None mentioned,Generic PV / BAPV,
2-s2.0-85119588221,"Modeling, Design and Construction of a Zero-Energy PV Greenhouse for Applications in Mediterranean Climates",2021,Thermal Science and Engineering Progress,38,10.1016/j.tsep.2021.101046,Net-Zero / Zero-Energy Buildings,None mentioned,Window / Curtain Wall BIPV,
2-s2.0-105030469534,A social sustainability assessment of a newly developed solar thermal energy system for industrial integration,2026,Thermal Science and Engineering Progress,0,10.1016/j.tsep.2026.104566,Policy / Regulation,None mentioned,Not specified,
2-s2.0-105032353432,Tearing behavior of PVDF coated warp-knitted fabrics under uniaxial tensioning at typical high-temperature conditions of photovoltaic membrane structures,2026,Thin-Walled Structures,0,10.1016/j.tws.2026.114757,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"To facilitate the practical application of building-integrated photovoltaic membranes, high-temperature uniaxial tearing tests were conducted on polyvinylidene fluoride (PVDF)-coated warp-knitted fabrics with pre-existing central notches."
2-s2.0-85094814490,Seasonal variations of the impact of urban aerosol pollution on distributed solar photovoltaic generation of nine megacities in China,2020,Urban Climate,11,10.1016/j.uclim.2020.100723,Policy / Regulation,None mentioned,Generic PV / BAPV,
2-s2.0-85207725212,"Heating, cooling and energy management of cold climate educational built environments using green roofs",2024,Urban Governance,10,10.1016/j.ugj.2024.10.001,GBRS Comparative Analysis,LEED,Not specified,
2-s2.0-85204073439,Quantitative sustainability assessment for in-situ electrical resistance heating coupled with steam enhanced extraction: An effective approach for the development of green remediation technologies,2024,Water Research,10,10.1016/j.watres.2024.122450,Other,None mentioned,Not specified,
2-s2.0-105032421468,An automated foldable organic photovoltaic system for greenhouses supporting crop productivity and achieving energy self-sufficiency,2026,Cell Reports Physical Science,0,10.1016/j.xcrp.2026.103173,Net-Zero / Zero-Energy Buildings,None mentioned,Generic PV / BAPV,"Photovoltaic (PV) integration is a strategy to offset this demand; however, conventional PV greenhouse designs typically reduce light intensity or alter spectral quality, negatively affecting crop productivity. | Integrating foldable OPVs into greenhouses, therefore, offers a practical and scalable pathway to harmonizing renewable energy production with sustained agricultural productivity."
2-s2.0-105027667443,Photothermal Revolution in Plastic Upcycling,2026,Accounts of Chemical Research,1,10.1021/acs.accounts.5c00759,Other,None mentioned,Not specified,"These effects collectively enhance reactant adsorption, induce electronic polarization and redistribution in target bonds, and significantly reduce activation barriers. | For future industrial adoption, research efforts should prioritize: (1) developing broad-spectrum catalytic platforms compatible with complex and mixed plastic feedstocks; (2) elucidating reaction mechanisms across multiple scales─from molecular activation to reactor design; and (3) designing continuous-flow systems capable of large-scale processing."
2-s2.0-85047185702,Principles and Methods for the Rational Design of Core-Shell Nanoparticle Catalysts with Ultralow Noble Metal Loadings,2018,Accounts of Chemical Research,95,10.1021/acs.accounts.7b00510,Other,HQE,Not specified,
2-s2.0-84968735591,On-Site Renewable Energy and Green Buildings: A System-Level Analysis,2016,Environmental Science and Technology,18,10.1021/acs.est.5b05382,GBRS Comparative Analysis,None mentioned,Not specified,"Adopting a green building rating system (GBRSs) that strongly considers use of renewable energy can have important environmental consequences, particularly in developing countries. | While we have focused on GBRSs, the findings can offer additional insight for renewable incentives across sectors."
2-s2.0-105024253612,Circular Carbon Capture: Comparative Life Cycle and Techno-Economic Assessment of Waste-Derived Activated Carbons,2025,Environmental science & technology,0,10.1021/acs.est.5c09338,Other,None mentioned,Not specified,Sensitivity analysis identifies variable costs as the primary drivers of the minimum selling price.
2-s2.0-85020447719,Evaluating the Life Cycle Environmental Benefits and Trade-Offs of Water Reuse Systems for Net-Zero Buildings,2017,Environmental Science and Technology,44,10.1021/acs.est.6b03879,GBRS Comparative Analysis,None mentioned,Not specified,"For this reason and to fill a gap in the current literature, we completed a life cycle assessment (LCA) of the decentralized water system of a high-performance, net-zero energy, net-zero water building (NZB) that received multiple green building certifications and compared the results with two modeled buildings (conventional and water efficient) using centralized water systems."
2-s2.0-84952360550,Systematic Framework for Sustainability Assessment of Biodiesel Production: Preliminary Engineering Stage,2015,Industrial and Engineering Chemistry Research,25,10.1021/acs.iecr.5b02894,Other,None mentioned,Not specified,
2-s2.0-85196002239,Greenly Synthesized CoPBA@PANI as a Proficient Electrocatalyst for Oxygen Evolution Reaction and Its Green Sustainability Assessments,2024,Langmuir,10,10.1021/acs.langmuir.4c01023,Other,None mentioned,Not specified,
2-s2.0-84960194474,Self-Assembly of Tetraphenyldibenzoperiflanthene (DBP) Films on Ag(111) in the Monolayer Regime,2016,Langmuir,16,10.1021/acs.langmuir.5b04069,Other,LEED,Not specified,
2-s2.0-85137914168,Quantum Dot-based Luminescent Solar Concentrators Fabricated through the Ultrasonic Spray-Coating Method,2022,ACS Applied Materials and Interfaces,20,10.1021/acsami.2c11205,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"When coupled with photovoltaic devices (PVs), LSCs hold the potential to be integrated into various application setups, especially for building facade integration toward net-zero-energy buildings."
2-s2.0-85082445106,Over a 15.9% Solar-to-CO Conversion from Dilute CO2 Streams Catalyzed by Gold Nanoclusters Exhibiting a High CO2 Binding Affinity,2020,ACS Energy Letters,140,10.1021/acsenergylett.9b02511,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,
2-s2.0-85135978260,"High-Efficiency, Mass-Producible, and Colored Solar Photovoltaics Enabled by Self-Assembled Photonic Glass",2022,ACS Nano,46,10.1021/acsnano.2c05840,BIPV Technical Performance,None mentioned,Window / Curtain Wall BIPV,"Building-integrated photovoltaics is a crucial technology for developing zero-energy buildings and sustainable cities, while great efforts are required to make photovoltaic (PV) panels aesthetically pleasing. | To address this challenge, this study contributes a colorization strategy for solar PVs based on short-range correlated dielectric microspheres, i.e., photonic glass."
2-s2.0-85135242257,"Large-Area Transparent ""Quantum Dot Glass"" for Building-Integrated Photovoltaics",2022,ACS Photonics,42,10.1021/acsphotonics.2c00633,Net-Zero / Zero-Energy Buildings,None mentioned,Window / Curtain Wall BIPV,"A concept of transparent ""quantum dot glass"" (TQDG) is proposed for a combination of a quantum dot (QD)-based glass luminescent solar concentrator (LSC) and its edge-attached solar cells, as a type of transparent photovoltaics (TPVs) for building-integrated photovoltaics (BIPVs)."
2-s2.0-85112557275,Energy and Environmental Sustainability Assessment of Photovoltaics Transition toward Perovskite-Perovskite Tandems from the Attributional and Consequential Perspectives,2021,ACS Sustainable Chemistry and Engineering,13,10.1021/acssuschemeng.1c03927,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-85167898895,Sustainability Assessment of a Solar Energy-Assisted Flue Gas Amine-Based CO2 Capture Process Using Fully Dynamic Process Models,2023,ACS Sustainable Chemistry and Engineering,6,10.1021/acssuschemeng.3c00837,Other,None mentioned,Not specified,
2-s2.0-85178034774,Sustainability Assessment of Green Ammonia Production To Promote Industrial Decarbonization in Spain,2023,ACS Sustainable Chemistry and Engineering,40,10.1021/acssuschemeng.3c04694,Other,None mentioned,Not specified,
2-s2.0-85047480196,"Sustainability Assessment of Renewable Energy in the United States, Canada, the European Union, China, and the Russian Federation",2018,ACS Sustainable Chemistry and Engineering,54,10.1021/acssuschemeng.8b01213,Other,None mentioned,Not specified,
2-s2.0-84890758366,Revision and extension of eco-LCA metrics for sustainability assessment of the energy and chemical processes,2013,Environmental Science and Technology,12,10.1021/es403987k,BIPV Economics / LCA,None mentioned,Not specified,
2-s2.0-85034627111,Luminescent solar concentrators for building-integrated photovoltaics,2017,Nature Reviews Materials,368,10.1038/natrevmats.2017.72,Net-Zero / Zero-Energy Buildings,None mentioned,Window / Curtain Wall BIPV,"The transition to fully energetically sustainable architecture through the realization of so-called net zero-energy buildings is currently in progress in areas with low population density. | Thus, new technologies are being investigated to integrate solar-harvesting devices into building facądes in the form of PV windows or envelope elements. | Luminescent solar concentrators (LSCs) are the most promising technology for semi-transparent, electrodeless PV glazing systems that can be integrated 'invisibly' into the built environment without detrimental effects to the aesthetics of the building or the quality of life of the inhabitants."
2-s2.0-85070756478,A Spectrally Tunable Dielectric Subwavelength Grating based Broadband Planar Light Concentrator,2019,Scientific Reports,11,10.1038/s41598-019-48025-3,Net-Zero / Zero-Energy Buildings,None mentioned,Not specified,"Energy consumption of buildings is increasing at a rapid pace due to urbanization, while net-zero energy buildings offer a green and sustainable solution. | However, limited rooftop availability on multi-story buildings poses a challenge for large-scale integration of photovoltaics. | Integrating solar cell at the window edge, we find an electrical conversion efficiency of about 0.65% of NIR light with a 25 mm2 prototype."
2-s2.0-105013197285,A novel holistic metric for sustainability assessment of photovoltaic/battery systems,2025,Scientific Reports,3,10.1038/s41598-025-14809-z,Other,None mentioned,Generic PV / BAPV,
2-s2.0-105024217317,Thermodynamic and environmental assessment of apple production in Türkiye: regional comparison and agrivoltaic integration,2025,Scientific Reports,0,10.1038/s41598-025-31495-z,Other,None mentioned,Not specified,
2-s2.0-84984614271,Photonic microstructures for energy-generating clear glass and net-zero energy buildings,2016,Scientific Reports,28,10.1038/srep31831,BIPV Technical Performance,None mentioned,Generic PV / BAPV,"Transparent energy-harvesting windows are emerging as practical building-integrated photovoltaics (BIPV), capable of generating electricity while simultaneously reducing heating and cooling demands."
2-s2.0-85051791712,Energy performance and heat transfer characteristics of photovoltaic double skin facades (PV-DSFs): a review,2017,Sustainable Energy and Fuels,13,10.1039/C7SE00175D,BIPV Technical Performance,None mentioned,Façade BIPV,"Building-integrated photovoltaics (BIPV) have become a promising technology due to the urgent demand for sustainable energy supplies. | The photovoltaic double skin façade (PV-DSF), regarded as one of the most feasible approaches to mitigate these problems, has been widely adopted and constructed globally."
